年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1618,合機,勤 業 眾 信 會 計 師 事 務 所,楊清鎮,翁榮隨,94-08-24,無保留意見
2005,2,1701,中化,致遠會計師事務所,阮 呂 艷,何 志 儒,94-08-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1702,南僑,安侯建業 聯 合 會 計 師 事 務 所,林秀玉,許育峰,94-08-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1707,葡萄王,大中國際聯合會計師事務所,許伯彥,林寬照,94-08-02,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1708,東鹼,安侯建業會計師事務所,王明志,關春修,94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1709,和益,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,94-07-28,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1710,東聯,勤業眾信會計師事務所,范有偉,郭俐雯,94-07-28,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1711,永光,安侯建業會計師事務所,許育峰,關春修,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1712,興農,勤 業 眾 信 會 計 師 事 務 所,曾 棟 鋆,羅 瑞 霖,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1713,國化,致遠會計師事務所,戴興鉦,潘愛華,94-08-22,修正式無保留意見--會計原則變動
2005,2,1714,和桐,致 遠 會 計 師 事 務 所,楊文安,佟韻玲,94-08-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1717,長興,資誠會計師事務所,"林億彰 (YYY代表會計�/td>洪麗蓉 (YYY代表會計�/td>94/07/26
保留意見--依被投資公司未經會計師查核報告認列投資損益、其他","洪麗蓉 (YYY代表會計�/td>94/07/26
保留意見--依被投資公司未經會計師查核報告認列投資損益、其他",94-07-26,保留意見--依被投資公司未經會計師查核報告認列投資損益、其他
2005,2,1718,中纖,廣 信 益 群 會 計 師 事 務 所,郝麗麗,郭欣訓,94-08-21,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1720,生達,資誠會計師事務所,李明憲,劉子猛,94-08-11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1721,三晃,勤 業 眾 信 會 計 師 事 務 所,吳麗冬會計師,呂惠民會計師,94-08-09,無保留意見
2005,2,1722,台肥,正風聯合會計師事務所,丁鴻勛,黃國師,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1723,中碳,勤業眾信會計師事務所,曾光敏,許芳益,94-07-20,無保留意見
